Name,tessellate,extrude,visibility,drawOrder,icon,Type,ServerId,PosType,Longtitude,Latitude,Altitude,Speed,Accuracy,Time,FileId,FileSize,FileName,attach,FileType,FilePath
A9,-1,0,-1,,,Point,29,0,113.283203,37.428437,1416.85146,0,0,1.76467E+12,0,0,gerImage_17646653973361323894187=611534342.jpg,"[{""fileId"":""0"",""fileType"":""0"",""fileName"":""gerImage_17646653973361323894187=611534342.jpg"",""fileSize"":""0""}]",0,gerImage_17646653973361323894187=611534342.jpg
B1,-1,0,-1,,,Point,21,0,113.285142,37.42663,1440.151056,0,0,1.76466E+12,0,0,gerImage_1764657411220375712974=1006031838.jpg,"[{""fileId"":""0"",""fileType"":""0"",""fileName"":""gerImage_1764657411220375712974=1006031838.jpg"",""fileSize"":""0""}]",0,gerImage_1764657411220375712974=1006031838.jpg
B10,-1,0,-1,,,Point,8,0,113.281557,37.429328,1416.695456,0,0,1.76464E+12,1519709335,0,gerImage_1764644503838854974987=751524432.jpg,"[{""fileId"":""1519709335"",""fileType"":""0"",""fileName"":""gerImage_1764644503838854974987=751524432.jpg"",""fileSize"":""0""}]",0,gerImage_1764644503838854974987=751524432.jpg
B12,-1,0,-1,,,Point,6,0,113.281153,37.429149,1416.470782,0,0,1.76464E+12,1519672733,0,gerImage_1764643306213545291929=1408728954.jpg,"[{""fileId"":""1519672733"",""fileType"":""0"",""fileName"":""gerImage_1764643306213545291929=1408728954.jpg"",""fileSize"":""0""}]",0,gerImage_1764643306213545291929=1408728954.jpg
B13,-1,0,-1,,,Point,7,0,113.281064,37.429098,1417.482796,0,0,1.76464E+12,1519683173,0,gerImage_17646437907011944823579=1948784913.jpg,"[{""fileId"":""1519683173"",""fileType"":""0"",""fileName"":""gerImage_17646437907011944823579=1948784913.jpg"",""fileSize"":""0""}]",0,gerImage_17646437907011944823579=1948784913.jpg
B14,-1,0,-1,,,Point,2,0,113.280394,37.425858,1422.167835,0,0,1.77502E+12,1582369556,0,pic_1582369556.png,"[{""fileId"":""1582369556"",""fileType"":""0"",""fileName"":""pic_1582369556.png"",""fileSize"":""0""}]",0,pic_1582369556.png
B15,-1,0,-1,,,Point,6,0,113.281695,37.428952,1414.400578,0,0,1.77503E+12,1582369830,0,pic_1582369830.png,"[{""fileId"":""1582369830"",""fileType"":""0"",""fileName"":""pic_1582369830.png"",""fileSize"":""0""}]",0,pic_1582369830.png
B2,-1,0,-1,,,Point,0,0,113.278211,37.43075,1449.652701,0,0,1.76464E+12,1520574694,0,pic_1520574694.png,"[{""fileId"":""1520574694"",""fileType"":""0"",""fileName"":""pic_1520574694.png"",""fileSize"":""0""}]",0,pic_1520574694.png
B3,-1,0,-1,,,Point,1,0,113.278307,37.430713,1448.671987,0,0,1.76464E+12,1519654096,0,pic_1519654096.png,"[{""fileId"":""1519654096"",""fileType"":""0"",""fileName"":""pic_1519654096.png"",""fileSize"":""0""}]",0,pic_1519654096.png
B4,-1,0,-1,,,Point,9,0,113.281557,37.428682,1413.739808,0,0,1.76465E+12,1519814735,0,gerImage_1764645001743833021300=1143094307.jpg,"[{""fileId"":""1519814735"",""fileType"":""0"",""fileName"":""gerImage_1764645001743833021300=1143094307.jpg"",""fileSize"":""0""}]",0,gerImage_1764645001743833021300=1143094307.jpg
B5,-1,0,-1,,,Point,10,0,113.281647,37.428558,1416.136181,0,0,1.76465E+12,1519822173,0,gerImage_1764645630500896328980=3383155.jpg,"[{""fileId"":""1519822173"",""fileType"":""0"",""fileName"":""gerImage_1764645630500896328980=3383155.jpg"",""fileSize"":""0""}]",0,gerImage_1764645630500896328980=3383155.jpg
B7,-1,0,-1,,,Point,4,0,113.281359,37.428958,1416.643807,0,0,1.76464E+12,1519654239,0,pic_1519654239.png,"[{""fileId"":""1519654239"",""fileType"":""0"",""fileName"":""pic_1519654239.png"",""fileSize"":""0""}]",0,pic_1519654239.png
B8,-1,0,-1,,,Point,5,0,113.281353,37.428902,1415.592807,0,0,1.76464E+12,1519656346,0,pic_1519656346.png,"[{""fileId"":""1519656346"",""fileType"":""0"",""fileName"":""pic_1519656346.png"",""fileSize"":""0""}]",0,pic_1519656346.png
B9,-1,0,-1,,,Point,3,0,113.280961,37.429087,1417.981054,0,0,1.76464E+12,1519654229,0,gerImage_17646420705042142138495=358343510.jpg,"[{""fileId"":""1519654229"",""fileType"":""0"",""fileName"":""gerImage_17646420705042142138495=358343510.jpg"",""fileSize"":""0""}]",0,gerImage_17646420705042142138495=358343510.jpg
